id,name,username,party
1260172386,Rep. Juan Vargas,RepJuanVargas,D
1610096539577487360,Rep. Gabe Vasquez,RepGabeVasquez,D
1074129612,Rep. Marc Veasey,RepVeasey,D
164369297,Rep. Nydia Velazquez,NydiaVelazquez,D
1051446626,Ann Wagner,RepAnnWagner,R
237862972,Rep. Tim Walberg,RepWalberg,R
1082416697380913152,Congressman Waltz Press,RepWaltzPress,R
1140648348,Rep. Debbie Wasserman Schultz,RepDWStweets,D
36686040,Maxine Waters,RepMaxineWaters,D
2968451607,Rep. Bonnie Watson Coleman,RepBonnie,D
1058051748,Randy Weber,TXRandy14,R
281540744,Daniel Webster,RepWebster,R
518644221,Rep. Brad Wenstrup,RepBradWenstrup,R
2852998461,Rep. Bruce Westerman,RepWesterman,R
1017819745880543238,Rep. Jennifer Wexton,RepWexton,D
1069636653353000962,Rep. Susan Wild,RepSusanWild,D
1345461797361504259,Congresswoman Nikema Williams,RepNikema,D
1602757312539680770,Rep. Brandon Williams,RepWilliams,R
1077446982,Rep. Roger Williams,RepRWilliams,R
234014087,Rep. Frederica Wilson,RepWilson,D
254082173,Joe Wilson,RepJoeWilson,R
15356407,Rep. Rob Wittman,RobWittman,R
234469322,Rep. Steve Womack,rep_stevewomack,R
1605665632858607617,Congressman Rudy Yakym,RepRudyYakym,R
